,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa,Aplicações Financeiras,Contas a Receber,Estoques,Ativos Biológicos,Tributos a Recuperar,Despesas Antecipadas,Outros Ativos Circulantes,Ativo Realizável a Longo Prazo,Aplicações Financeiras Avaliadas a Valor Justo,Aplicações Financeiras Avaliadas ao Custo Amortizado,Contas a Receber.1,Estoques.1,Ativos Biológicos.1,Tributos Diferidos,Despesas Antecipadas.1,Créditos com Partes Relacionadas,Outros Ativos Não Circulantes,Investimentos,Imobilizado,Intangível,Diferido,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas,Fornecedores,Obrigações Fiscais,Empréstimos e Financiamentos,Passivos com Partes Relacionadas,Dividendos e JCP a Pagar,Outros,Provisões,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,Passivo Não Circulante,Empréstimos e Financiamentos.1,Passivos com Partes Relacionadas.1,Outros.1,Tributos Diferidos.1,Adiantamento para Futuro Aumento Capital,Provisões.1,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados.1,Lucros e Receitas a Apropriar,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Reavaliação,Reservas de Lucros,Lucros/Prejuízos Acumulados,Ajustes de Avaliação Patrimonial,Ajustes Acumulados de Conversão,Outros Resultados Abrangentes,Adiantamento para Futuro Aumento Capital.1
2001-12-31,307231000.0,129158000.0,4082000.0,,54710000.0,59344000.0,,0.0,0.0,0.0,0.0,,,,,,,14049000.0,,129078000.0,1697000.0,55835000.0,-17317000.0,,307231000.0,142210000.0,2231000.0,1173000.0,0.0,7775000.0,0.0,,240683000.0,0.0,,0.0,-764000.0,,6908000.0,67000.0,,0.0,,,2231000.0,66548000.0,82017000.0,,0.0,3247000.0,0.0,0.0,,,
2002-03-31,309128000.0,134499000.0,8782000.0,,63227000.0,61451000.0,,0.0,0.0,0.0,0.0,,,,,,,14930000.0,,128574000.0,1697000.0,56836000.0,-15567000.0,,309128000.0,140785000.0,2239000.0,1226000.0,0.0,1039000.0,0.0,,244694000.0,0.0,,0.0,-1457000.0,,14479000.0,53000.0,,0.0,,,2239000.0,64434000.0,82017000.0,,0.0,0.0,0.0,0.0,,,
2002-06-30,333317000.0,148511000.0,9475000.0,,68391000.0,69783000.0,,0.0,0.0,0.0,0.0,,,,,,,20917000.0,,134975000.0,1907000.0,73837000.0,-15374000.0,,333317000.0,155140000.0,2267000.0,1259000.0,0.0,862000.0,0.0,,282505000.0,0.0,,0.0,-6057000.0,,23444000.0,191000.0,,0.0,,,2267000.0,50812000.0,82017000.0,,0.0,0.0,0.0,0.0,,,
2002-09-30,381440000.0,179767000.0,12766000.0,,86871000.0,79447000.0,,0.0,0.0,0.0,0.0,,,,,,,14920000.0,,158854000.0,2010000.0,93962000.0,-18592000.0,,381440000.0,183247000.0,3247000.0,1311000.0,0.0,683000.0,0.0,,366477000.0,0.0,,0.0,-12520000.0,,30407000.0,33000.0,,0.0,,,3247000.0,14963000.0,82017000.0,,0.0,0.0,0.0,0.0,,,
2002-12-31,362608000.0,173751000.0,6170000.0,,70071000.0,84931000.0,,7239000.0,0.0,0.0,0.0,,,,,,,11016000.0,,152726000.0,1733000.0,74916000.0,-24270000.0,,362608000.0,178926000.0,3595000.0,1314000.0,0.0,3034000.0,0.0,,319548000.0,0.0,,0.0,-3270000.0,,9458000.0,31000.0,,0.0,,,3595000.0,43060000.0,92717000.0,,0.0,2306000.0,0.0,0.0,,,
2003-03-31,368980000.0,184113000.0,8611000.0,,68002000.0,94567000.0,,6018000.0,0.0,0.0,0.0,,,,,,,11960000.0,,149911000.0,1675000.0,84641000.0,-20714000.0,,368980000.0,186193000.0,3819000.0,1552000.0,0.0,3378000.0,0.0,,321776000.0,0.0,,0.0,533000.0,,16016000.0,29000.0,,0.0,,,3819000.0,47204000.0,92717000.0,,0.0,3537000.0,0.0,0.0,,,
2003-06-30,352848000.0,172419000.0,3826000.0,,56846000.0,97096000.0,,6917000.0,0.0,0.0,0.0,,,,,,,10839000.0,,146829000.0,1675000.0,89642000.0,-21863000.0,,352848000.0,185555000.0,4109000.0,1589000.0,0.0,3803000.0,0.0,,289985000.0,0.0,,0.0,-4346000.0,,19152000.0,20000.0,,0.0,,,4109000.0,62863000.0,92717000.0,,0.0,3931000.0,0.0,0.0,,,
2003-09-30,352569000.0,173451000.0,5295000.0,,59889000.0,94541000.0,,6992000.0,0.0,0.0,0.0,,,,,,,10770000.0,,143718000.0,1756000.0,98892000.0,-21844000.0,,352569000.0,190985000.0,4179000.0,1669000.0,0.0,3783000.0,0.0,,300056000.0,0.0,,0.0,-4107000.0,,22711000.0,1000.0,,0.0,,,4179000.0,52513000.0,92717000.0,,0.0,2951000.0,0.0,0.0,,,
2003-12-31,347328000.0,179537000.0,8594000.0,,57906000.0,92550000.0,,14136000.0,0.0,0.0,0.0,,,,,,,4377000.0,,143005000.0,1756000.0,91013000.0,-22730000.0,,347328000.0,175677000.0,4593000.0,1771000.0,0.0,4283000.0,0.0,,304124000.0,0.0,,0.0,4496000.0,,29543000.0,2843000.0,,0.0,,,4593000.0,43204000.0,92717000.0,,0.0,2068000.0,0.0,0.0,,,
2004-03-31,352515000.0,185912000.0,7693000.0,,64719000.0,91174000.0,,14136000.0,0.0,0.0,0.0,,,,,,,4391000.0,,139493000.0,1756000.0,87966000.0,-22508000.0,,352515000.0,180275000.0,4874000.0,1891000.0,0.0,5800000.0,0.0,,309455000.0,0.0,,0.0,-2043000.0,,27624000.0,2894000.0,,0.0,,,4874000.0,43060000.0,92717000.0,,0.0,2390000.0,0.0,0.0,,,
2004-06-30,354106000.0,188607000.0,6402000.0,,64074000.0,96353000.0,,14136000.0,0.0,0.0,0.0,,,,,,,4519000.0,,137776000.0,1756000.0,109885000.0,-26175000.0,,354106000.0,204650000.0,5113000.0,1934000.0,0.0,5429000.0,0.0,,323642000.0,0.0,,0.0,-1852000.0,,31923000.0,3199000.0,,0.0,,,5113000.0,30464000.0,92717000.0,,0.0,2213000.0,0.0,0.0,,,
2004-09-30,353855000.0,199389000.0,36363000.0,,48201000.0,88103000.0,,14096000.0,0.0,0.0,0.0,,,,,,,4402000.0,,126708000.0,2999000.0,100463000.0,-21056000.0,,353855000.0,193577000.0,96000.0,2000000.0,0.0,10711000.0,0.0,,297123000.0,0.0,,0.0,526000.0,,30815000.0,3586000.0,,0.0,,,96000.0,56732000.0,92717000.0,,0.0,1915000.0,0.0,0.0,,,
2004-12-31,326783000.0,166513000.0,8596000.0,,49027000.0,96447000.0,,5530000.0,0.0,0.0,0.0,,,,,,,12646000.0,,127833000.0,1756000.0,80821000.0,-22367000.0,,326783000.0,180263000.0,67000.0,1572000.0,0.0,5496000.0,0.0,,279554000.0,0.0,,0.0,-683000.0,,32742000.0,3167000.0,,0.0,,,67000.0,47229000.0,92717000.0,,0.0,1417000.0,0.0,0.0,,,
2005-03-31,339249000.0,181385000.0,8879000.0,,42437000.0,113936000.0,,5530000.0,0.0,0.0,0.0,,,,,,,12654000.0,,126197000.0,1756000.0,93835000.0,-17822000.0,,339249000.0,195229000.0,62000.0,1599000.0,0.0,8018000.0,0.0,,291672000.0,0.0,,0.0,-2250000.0,,32347000.0,3295000.0,,0.0,,,62000.0,47577000.0,92717000.0,,0.0,2585000.0,0.0,0.0,,,
2005-06-30,342805000.0,183827000.0,6735000.0,,49223000.0,112630000.0,,5516000.0,0.0,0.0,0.0,,,,,,,12450000.0,,128167000.0,1513000.0,91558000.0,-21420000.0,,342805000.0,202725000.0,62000.0,1628000.0,0.0,8739000.0,0.0,,296111000.0,0.0,,0.0,-2144000.0,,31208000.0,3369000.0,,0.0,,,62000.0,46694000.0,92717000.0,,0.0,984000.0,0.0,0.0,,,
2005-09-30,335758000.0,182502000.0,6792000.0,,62966000.0,111804000.0,,0.0,0.0,0.0,0.0,,,,,,,12368000.0,,123506000.0,1512000.0,93075000.0,-22736000.0,,335758000.0,206660000.0,76000.0,1717000.0,0.0,0.0,0.0,,294074000.0,0.0,,0.0,-4112000.0,,27689000.0,3689000.0,,0.0,,,76000.0,41684000.0,92717000.0,,0.0,940000.0,0.0,0.0,,,
2005-12-31,325140000.0,171052000.0,1586000.0,,48809000.0,111278000.0,,3060000.0,0.0,0.0,0.0,,,,,,,16738000.0,,120907000.0,1379000.0,107746000.0,-20340000.0,,325140000.0,200972000.0,104000.0,2563000.0,0.0,5289000.0,0.0,,289006000.0,0.0,,0.0,-730000.0,,39018000.0,0.0,,2822000.0,,,104000.0,36134000.0,82017000.0,,0.0,1030000.0,551000.0,0.0,,,
2006-03-31,308410000.0,159013000.0,7674000.0,,39028000.0,104774000.0,,2906000.0,0.0,0.0,0.0,,,,,,,16576000.0,,116445000.0,1393000.0,102331000.0,-17954000.0,,308410000.0,195401000.0,109000.0,2119000.0,0.0,3979000.0,0.0,,277741000.0,0.0,,0.0,265000.0,,33652000.0,4000000.0,,0.0,,,109000.0,30669000.0,100717000.0,,0.0,652000.0,0.0,0.0,,,
2006-06-30,288004000.0,143507000.0,4437000.0,,37260000.0,97805000.0,,1764000.0,0.0,0.0,0.0,,,,,,,16578000.0,,112687000.0,1393000.0,108239000.0,-19530000.0,,288004000.0,204371000.0,113000.0,2119000.0,0.0,1669000.0,0.0,,266786000.0,0.0,,0.0,-2134000.0,,26327000.0,4043000.0,,0.0,,,113000.0,21218000.0,100717000.0,,0.0,572000.0,0.0,0.0,,,
2006-09-30,286555000.0,147440000.0,3667000.0,,45142000.0,95946000.0,,1367000.0,0.0,0.0,0.0,,,,,,,16588000.0,,108438000.0,1365000.0,96449000.0,-21593000.0,,286555000.0,193324000.0,101000.0,2143000.0,0.0,614000.0,0.0,,269440000.0,0.0,,0.0,-443000.0,,40661000.0,4547000.0,,0.0,,,101000.0,17115000.0,100717000.0,,0.0,704000.0,0.0,0.0,,,
2006-12-31,341991000.0,146379000.0,1899000.0,,37328000.0,100397000.0,,2156000.0,0.0,0.0,0.0,,,,,,,17706000.0,,165781000.0,1005000.0,99193000.0,-20078000.0,,341991000.0,206159000.0,27000.0,2085000.0,0.0,3369000.0,0.0,,290860000.0,0.0,,0.0,-1611000.0,,63744000.0,0.0,,5275000.0,,,27000.0,51131000.0,100717000.0,,0.0,1230000.0,0.0,0.0,,,
2007-03-31,368201000.0,177630000.0,37027000.0,,41491000.0,93845000.0,,0.0,0.0,0.0,0.0,,,,,,,1210000.0,,161810000.0,931000.0,80914000.0,-18947000.0,,368201000.0,186683000.0,1000.0,17648000.0,0.0,5267000.0,6625000.0,,319143000.0,0.0,,0.0,-1641000.0,,62967000.0,0.0,,4563000.0,,,1000.0,49058000.0,100717000.0,,0.0,0.0,0.0,0.0,,,
2007-06-30,424383000.0,160323000.0,5506000.0,,59709000.0,89185000.0,,0.0,0.0,0.0,0.0,,,,,,,6903000.0,,157610000.0,931000.0,54454000.0,-20212000.0,,424383000.0,163156000.0,-19000.0,960000.0,0.0,5923000.0,0.0,,378595000.0,0.0,,0.0,-221000.0,,149900000.0,0.0,,3034000.0,,,-19000.0,45788000.0,112019000.0,,0.0,0.0,551000.0,0.0,,,
2007-09-30,413649000.0,153037000.0,4719000.0,,62884000.0,79638000.0,,0.0,0.0,0.0,0.0,,,,,,,6802000.0,,154728000.0,948000.0,56407000.0,-22485000.0,,413649000.0,168273000.0,33000.0,960000.0,0.0,5796000.0,4222000.0,,390585000.0,0.0,,0.0,15880000.0,,164290000.0,0.0,,3028000.0,,,33000.0,23064000.0,112957000.0,,0.0,0.0,551000.0,0.0,,,
2007-12-31,406031000.0,154634000.0,2362000.0,,63775000.0,75609000.0,,1510000.0,0.0,0.0,0.0,,,,,,,0.0,,152172000.0,428000.0,63648000.0,-22808000.0,,406031000.0,174921000.0,62000.0,951000.0,0.0,2663000.0,0.0,,382491000.0,0.0,,0.0,-81000.0,,161600000.0,0.0,,2895000.0,,,62000.0,23540000.0,112957000.0,,0.0,2000000.0,550000.0,0.0,,,
2008-03-31,424225000.0,159197000.0,1833000.0,,76602000.0,69202000.0,,3244000.0,0.0,0.0,0.0,,,,,,,6659000.0,,153994000.0,259000.0,85935000.0,-23413000.0,,424225000.0,196473000.0,-5000.0,1227000.0,0.0,2599000.0,4531000.0,,397373000.0,0.0,,0.0,-5741000.0,,156335000.0,0.0,,4616000.0,,,-5000.0,26852000.0,112957000.0,,0.0,5717000.0,550000.0,0.0,,,
2008-06-30,433775000.0,153332000.0,1809000.0,,79935000.0,61055000.0,,5333000.0,0.0,0.0,0.0,,,,,,,6508000.0,,165460000.0,263000.0,94736000.0,-26604000.0,,433775000.0,210616000.0,-3000.0,1236000.0,0.0,1102000.0,4933000.0,,402501000.0,0.0,,0.0,-7304000.0,,154407000.0,0.0,,9316000.0,,,-3000.0,31274000.0,112957000.0,,0.0,4098000.0,3629000.0,0.0,,,
2008-09-30,446719000.0,158544000.0,3368000.0,,82617000.0,61698000.0,,5955000.0,0.0,0.0,0.0,,,,,,,6694000.0,,173070000.0,209000.0,104158000.0,-29310000.0,,446719000.0,222547000.0,-5000.0,757000.0,0.0,1221000.0,5820000.0,,422654000.0,0.0,,0.0,5359000.0,,153791000.0,0.0,,10286000.0,,,-5000.0,24065000.0,112957000.0,,0.0,3685000.0,3211000.0,0.0,,,
2008-12-31,450429000.0,164923000.0,9017000.0,,74224000.0,64300000.0,,1166000.0,0.0,0.0,0.0,,,,,,,0.0,,175403000.0,221000.0,93144000.0,-29558000.0,,450429000.0,230283000.0,-5000.0,365000.0,0.0,1534000.0,7148000.0,,445593000.0,-9352000.0,,0.0,-227000.0,,163349000.0,0.0,,12010000.0,,,-5000.0,4836000.0,112957000.0,,0.0,2579000.0,3141000.0,0.0,,,
2009-03-31,458103000.0,166447000.0,6760000.0,,72950000.0,67710000.0,,5286000.0,0.0,0.0,0.0,,,,,,,5273000.0,,174948000.0,219000.0,88361000.0,-28654000.0,,458103000.0,246325000.0,6000.0,392000.0,0.0,1216000.0,6048000.0,,451764000.0,-9111000.0,,0.0,-3908000.0,,165192000.0,0.0,,10081000.0,,,6000.0,6339000.0,112957000.0,,0.0,4391000.0,2805000.0,-145000.0,,,
2009-06-30,458136000.0,157724000.0,4422000.0,,69417000.0,65793000.0,,8962000.0,0.0,0.0,0.0,,,,,,,5233000.0,,182662000.0,219000.0,88902000.0,-25365000.0,,458136000.0,246275000.0,5000.0,413000.0,0.0,1531000.0,5689000.0,,444522000.0,-4154000.0,,0.0,-6281000.0,,164397000.0,0.0,,10915000.0,,,5000.0,13614000.0,112957000.0,,0.0,2535000.0,2372000.0,0.0,,,
2009-09-30,455457000.0,154723000.0,4377000.0,,72456000.0,63696000.0,,8095000.0,0.0,0.0,0.0,,,,,,,5193000.0,,180440000.0,215000.0,86087000.0,-25976000.0,,455457000.0,236745000.0,4000.0,434000.0,0.0,1375000.0,5834000.0,,438081000.0,-1694000.0,,0.0,-559000.0,,163647000.0,0.0,,12004000.0,,,4000.0,17376000.0,112957000.0,,0.0,1555000.0,2974000.0,0.0,,,
2009-09-30,455456.992,154723.008,4377.0,0.0,75625.0,63696.0,0.0,0.0,0.0,11025.0,117105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98534.0,18571.0,215.0,180440.0,2974.0,0.0,455456.992,236744.992,0.0,71341.0,26644.0,86087.0,714.0,0.0,49026.0,2933.0,0.0,201332.0,22318.0,0.0,167010.0,0.0,0.0,12004.0,0.0,0.0,4.0,17376.0,112957.0,267.0,51797.0,0.0,-145951.008,-1694.0,0.0,0.0,0.0
2009-12-31,450734.016,163626.0,8618.0,0.0,72825.0,71037.0,0.0,0.0,0.0,11146.0,107048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86763.0,20285.0,223.0,177172.0,2665.0,0.0,450734.016,224424.992,0.0,68033.0,24134.0,90428.0,0.0,6.0,36267.0,5557.0,0.0,196696.992,28859.0,0.0,152600.992,0.0,0.0,15237.0,0.0,0.0,8.0,29604.0,112957.0,267.0,51246.0,0.0,-133712.0,-1154.0,0.0,0.0,0.0
2009-12-31,450734000.0,163626000.0,8618000.0,,68546000.0,71037000.0,,4294000.0,0.0,0.0,0.0,,,,,,,0.0,,177172000.0,223000.0,90428000.0,-24601000.0,,450734000.0,224425000.0,8000.0,455000.0,0.0,1662000.0,5576000.0,,421130000.0,-1154000.0,,0.0,-6406000.0,,149320000.0,0.0,,15237000.0,,,8000.0,29604000.0,112957000.0,,0.0,2351000.0,2665000.0,0.0,,,
2010-03-31,492975.008,168491.008,10048.0,0.0,80609.0,70322.0,0.0,0.0,0.0,7512.0,138546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88470.0,50076.0,219.0,183459.008,2260.0,0.0,492975.008,227311.008,0.0,61183.0,24875.0,98392.0,0.0,6.0,37434.0,5421.0,0.0,234552.0,38248.0,0.0,177908.0,0.0,0.0,18396.0,0.0,0.0,3.0,31109.0,112957.0,267.0,48333.0,0.0,-128682.0,-1766.0,0.0,0.0,0.0
2010-03-31,492975000.0,168491000.0,10048000.0,,79052000.0,70322000.0,,3385000.0,80000.0,0.0,-5671000.0,,,,,,,21574000.0,,183459000.0,219000.0,98392000.0,0.0,,492975000.0,227311000.0,3000.0,2472000.0,0.0,1476000.0,5671000.0,,461866000.0,-1766000.0,,0.0,-439000.0,,131141000.0,43445000.0,,18396000.0,,,3000.0,31109000.0,112957000.0,,0.0,2651000.0,2180000.0,0.0,,,
2010-06-30,505667000.0,180215000.0,5895000.0,,86669000.0,76418000.0,,5233000.0,80000.0,0.0,-5431000.0,,,,,,,22435000.0,,181204000.0,215000.0,102857000.0,0.0,,505667000.0,232487000.0,5000.0,2638000.0,0.0,1824000.0,5431000.0,,467722000.0,-2080000.0,,0.0,-3541000.0,,131048000.0,44682000.0,,20056000.0,,,5000.0,37945000.0,112957000.0,,0.0,2494000.0,1726000.0,0.0,,,
2010-06-30,505667.008,180215.008,5895.0,0.0,88351.0,76418.0,0.0,0.0,0.0,9551.0,142227.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90349.0,51878.0,215.0,181204.0,1806.0,0.0,505667.008,232487.008,0.0,65429.0,21899.0,102857.0,0.0,6.0,37449.0,4847.0,0.0,235230.0,36195.0,0.0,178979.008,0.0,0.0,20056.0,0.0,0.0,5.0,37945.0,112957.0,267.0,47938.0,0.0,-121137.0,-2080.0,0.0,0.0,0.0
